SOC;mAh_Charge1;mAh_Discharge1;Avg_Ah1;Charge1;Discharge1;Avg_OCV1;Avg_dOCV1;Delta_OCV1;R0_est1;mAh_Charge2;mAh_Discharge2;Avg_Ah2;Charge2;Discharge2;Avg_OCV2;Avg_dOCV2;Delta_OCV2;R0_est2;mAh_Charge3;mAh_Discharge3;Avg_Ah3;Charge3;Discharge3;Avg_OCV3;Avg_dOCV3;Delta_OCV3;R0_est3;Avg_avg_OCV;Avg_avg_dOCV;Avg_charge_OCV;Avg_discharge_OCV
0.017;255.241910000005;256.422243611139;255.832076805572;3.01915219464405;2.89278555803811;2.95596887634108;0.0108746185471595;0.126366636605948;0.0847577184891268;260.837039722254;255.909296944425;258.373168333339;3.01270192971789;2.90061728391159;2.95665960681474;0.011057307446722;0.112084645806297;0.0755359345502016;261.406199722247;261.009925000004;261.208062361125;3.01469999523904;2.88998365959218;2.95234182741561;0.0113047454777089;0.12471633564686;0.0842675326690614;2.95395316237464;0.0112109886162921;3.01551803986699;2.89446216718063
0.018;270.256140000005;271.505905000033;270.881022500019;3.02930364316763;2.90413607560306;2.96671985938535;0.0107509830442689;0.125167567564572;0.0839534685780143;276.180395000034;270.96278499998;273.571590000007;3.02275033605908;2.91194828674244;2.96734931140076;0.0106897045860221;0.110802049316649;0.0746715688398101;276.783035000026;276.363450000001;276.573242500013;3.02430355282422;2.90098642842817;2.96264499062619;0.0103031632105792;0.123317124396048;0.0833221225976607;2.96462267535561;0.0106695129809635;3.02545251068365;2.90569026359122
0.019;285.270370000005;286.589566388922;285.929968194464;3.03865858436339;2.91478092356336;2.97671975396337;0.00999989457802553;0.123877660800031;0.0830882912071299;291.523750277813;286.016273055533;288.770011666673;3.03239684685223;2.92296063055798;2.9776787387051;0.0103294273043444;0.109436216294257;0.0737511084766286;292.159870277805;291.716975000001;291.938422638903;3.03360717958205;2.91223002343866;2.97291860151036;0.0102736108841626;0.121377156143381;0.0820113373083028;2.97479778630848;0.0101751109528743;3.03488753693256;2.91665719252
0.02;300.284600000006;301.673227777812;300.978913888909;3.04731320672531;2.92516891012841;2.98624105842686;0.00952130446348587;0.122144296596908;0.0819256742449835;306.867105555593;301.06976111109;303.968433333341;3.04125638147344;2.93305433502251;2.98715535824798;0.00947661954287193;0.108202046450927;0.0729193783869364;307.536705555584;307.070500000003;307.303602777794;3.04231070716136;2.92259901128243;2.9824548592219;0.00953625771153988;0.119711695878934;0.0808860298133752;2.98453592745444;0.00973814114596427;3.04362676512004;2.92694075214445
0.021;315.298830000006;316.756889166703;316.027859583355;3.05601400374794;2.93491164218198;2.99546282296496;0.00922176453809964;0.121102361565954;0.0812268186102253;322.210460833372;316.123249166641;319.166855000007;3.05011493376431;2.94315758166255;2.99663625771343;0.00948089946545405;0.106957352101759;0.07208055563635;322.913540833363;322.424025000004;322.668782916684;3.0509736906099;2.93241858831377;2.99169613946184;0.00924128023994308;0.118555102296127;0.0801045500896603;2.99385120242059;0.00931527496614448;3.05236754270738;2.93682927071944
0.022;330.313060000006;331.840550555595;331.076805277801;3.06409765346679;2.94431118227568;3.00420441787124;0.00874159490627724;0.119786471191111;0.0803442132885269;337.553816111152;331.176737222195;334.365276666673;3.05831809109977;2.95270541115386;3.00551175112681;0.00887549341338323;0.105612679945907;0.0711743559760376;338.290376111143;337.777550000001;338.033963055572;3.05932748879794;2.94198379556342;3.00065564218068;0.00895950271884205;0.117343693234529;0.0792860329952933;3.00279045646582;0.00893925404523355;3.06058107778817;2.94633346299765
0.023;345.327290000007;346.924211944484;346.125750972245;3.07214425810619;2.95323594295514;3.01269010053066;0.0084856826594284;0.11890831515106;0.0797552089086425;352.897171388932;346.23022527775;349.563698333341;3.06641616540786;2.96179778744411;3.01410697642598;0.00859522529916834;0.104618377963749;0.0705042773144404;353.667211388922;353.131075000003;353.399143194462;3.06742112266708;2.95145392974979;3.00943752620844;0.00878188402775582;0.115967192917286;0.0783559681016234;3.01137571214551;0.00858525567968771;3.06866051539371;2.95549588671635
0.024;360.341520000007;362.007873333374;361.17469666669;3.07963553091323;2.96189100570299;3.02076326830811;0.00807316777744482;0.117744525210241;0.0789746216995996;368.240526666711;361.283713333305;364.762120000008;3.07398915330202;2.97073125036335;3.02236020183268;0.00825322540670248;0.103257902938669;0.0695874278056396;369.044046666701;368.484600000002;368.764323333351;3.07486633373277;2.96006889570658;3.01746761471967;0.0080300885112381;0.114797438026186;0.077565595629651;3.01964607098267;0.00827035883715554;3.07616367264934;2.96423038392431
0.025;375.355750000007;377.091534722265;376.223642361136;3.08692218596017;2.97024694203717;3.02858456399867;0.00782129569056167;0.116675243922995;0.0782574241483764;383.583881944491;376.33720138886;379.960541666676;3.08154667761909;2.97895223735147;3.03024945748528;0.00788925565259202;0.102594440267616;0.0691403079299724;384.42088194448;383.838125000004;384.129503472242;3.08244604416283;2.96876290559368;3.02560447487826;0.00813686015858339;0.113683138569148;0.0768126929291986;3.02762398220815;0.00797791122548563;3.0836383025807;2.97265402832744
0.026;390.369980000007;392.175196111157;391.272588055582;3.09416511573086;2.97883719958885;3.03650115765985;0.00791659366118358;0.115327916142005;0.0773537328589591;398.927237222271;391.390689444417;395.158963333344;3.08876768575427;2.98709722989816;3.03793245782622;0.00768300034094072;0.101670455856108;0.0685176175915143;399.797717222259;399.191650000002;399.494683611131;3.08939870096498;2.97694899496743;3.0331738479662;0.00756937308794559;0.112449705997544;0.075979295131038;3.03533371667957;0.00770973447141632;3.09077716748337;2.98096114148482
